,City,Lng,Lat,Temp_Max,Humidity,Cloudiness,Wind_Speed,Country,Date
133,Omsukchan,155.8,62.5333,249.61,99,52,2.16,RU,1619288458
134,Strezhevoy,77.5889,60.7333,278.15,87,0,2.0,RU,1619288458
135,Thinadhoo,72.9333,0.5333,301.49,68,24,2.82,MV,1619288459
136,Belyy Yar,91.3903,53.6039,271.15,69,95,3.67,RU,1619288784
137,Koumac,164.2833,-20.5667,297.63,87,100,5.3,NC,1619288460
138,Albany,-73.9662,42.6001,293.71,16,57,0.89,US,1619288460
139,Grand-Santi,-54.3833,4.25,299.96,95,95,2.17,GF,1619288461
140,Agüimes,-15.4461,27.9054,295.15,64,75,1.03,ES,1619288461
141,Daru,143.2092,-9.0763,298.88,88,100,3.53,PG,1619288462
142,Kidal,1.4078,18.4411,309.7,5,0,3.73,ML,1619288236
143,Kahului,-156.47,20.8947,295.15,100,40,5.66,US,1619288418
144,Cabo San Lucas,-109.9124,22.8909,302.15,41,1,5.14,MX,1619288787
145,Paamiut,-49.6678,61.994,276.87,72,81,4.52,GL,1619288463
146,Kavaratti,72.642,10.5669,302.25,74,19,3.3,IN,1619288464
147,Palmer,-72.3287,42.1584,294.15,18,75,4.63,US,1619288464
148,Skała,19.8536,50.2305,282.15,61,75,2.06,PL,1619288465
149,Champasak,106.0,14.75,297.54,89,87,1.09,LA,1619288465
150,Bethel,-73.414,41.3712,294.26,23,1,3.6,US,1619288203
151,Acapulco de Juárez,-99.8901,16.8634,305.15,43,90,4.12,MX,1619288466
152,Mehamn,27.8492,71.0357,273.71,71,100,3.7,NO,1619288466
153,Cherskiy,161.3,68.75,267.17,96,100,4.33,RU,1619288271
154,Filingué,3.3168,14.3521,308.97,6,6,1.83,NE,1619288467
155,Kushima,131.2333,31.4583,287.43,88,30,2.39,JP,1619288468
156,Marzuq,46.4667,14.4,295.73,67,20,3.64,YE,1619288469
157,Krasnosel'kup,82.4667,65.7,273.81,98,100,3.44,RU,1619288353
158,Khani,42.9566,41.9563,285.15,87,0,1.54,GE,1619288469
159,Kieta,155.6333,-6.2167,299.19,82,71,0.73,PG,1619288470
160,Thompson,-97.8558,55.7435,269.15,50,75,1.03,CA,1619288470
161,Erdenet,104.0833,49.0333,272.05,98,100,2.16,MN,1619288471
162,Hofn,-15.2082,64.2539,281.49,80,100,2.65,IS,1619288343
163,Lakeside,-81.7682,30.13,302.04,61,75,4.12,US,1619288275
164,Champerico,-91.9167,14.3,303.15,70,75,2.06,GT,1619288472
165,Codrington,141.9667,-38.2667,283.64,92,100,2.75,AU,1619288473
166,Waddān,16.139,29.1614,294.87,43,8,8.97,LY,1619288474
167,Ostrovnoy,39.5131,68.0531,275.61,99,100,1.65,RU,1619288474
168,Gondal,70.8,21.9667,305.37,53,100,4.7,IN,1619288475
169,Aykhal,111.5,66.0,267.74,96,86,3.11,RU,1619288475
170,Talnakh,88.3972,69.4865,272.35,97,100,4.94,RU,1619288211
171,San Quintín,-115.95,30.4833,290.52,67,65,6.72,MX,1619288796
172,Egvekinot,-179.1667,66.3167,265.29,89,94,0.35,RU,1619288476
173,San Francisco,-122.4194,37.7749,287.59,62,75,3.09,US,1619288609
174,Hay River,-115.7999,60.8156,268.15,58,98,4.12,CA,1619288569
175,Broome,-75.833,42.2506,291.48,29,1,2.06,US,1619288296
176,Yichang,111.2847,30.7144,287.53,87,100,0.94,CN,1619288478
177,Kostanay,63.5833,53.1667,280.15,65,0,6.0,KZ,1619288479
178,Lugovoy,72.7644,42.9472,283.14,53,99,1.99,KZ,1619288479
179,Pirenópolis,-48.9592,-15.8525,300.15,44,40,1.03,BR,1619288480
180,Cham,8.4636,47.1821,290.15,55,40,1.03,CH,1619288480
181,Cabra,-4.4421,37.4725,288.71,78,99,2.24,ES,1619288481
182,Sioux Lookout,-91.917,50.1001,274.15,40,75,4.12,CA,1619288800
183,San Andrés,-81.7006,12.5847,304.15,58,20,5.14,CO,1619288691
184,Kielce,20.6275,50.8703,277.54,83,89,1.8,PL,1619288482
185,Hithadhoo,73.0833,-0.6,301.76,70,46,3.49,MV,1619288482
186,College,-147.8028,64.8569,282.15,42,20,0.43,US,1619288354
187,Hirara,125.2833,24.8,295.08,78,100,8.22,JP,1619288483
188,Aklavik,-135.0107,68.2191,274.15,60,20,1.03,CA,1619288212
189,Sorong,131.25,-0.8833,299.05,86,93,3.01,ID,1619288484
190,Harper,-7.7169,4.375,301.64,76,78,4.49,LR,1619288485
191,Cayenne,-52.3333,4.9333,299.26,89,40,2.57,GF,1619288241
192,Kentau,68.5094,43.5206,288.55,32,5,2.92,KZ,1619288485
193,Port Lincoln,135.8667,-34.7333,287.45,71,0,1.95,AU,1619288804
194,Airai,125.4092,-8.9266,287.03,92,30,1.11,TL,1619288265
195,Simpang,104.0833,-1.2667,296.53,93,100,0.35,ID,1619288487
196,Karratha,116.8463,-20.7377,299.47,38,0,2.99,AU,1619288479
197,Carnarvon,113.6333,-24.8667,290.15,94,0,3.09,AU,1619288222
198,Wanxian,108.3897,30.8039,289.14,90,100,3.03,CN,1619288488
199,Faanui,-151.75,-16.4833,299.82,74,100,3.41,PF,1619288488
200,Phonhong,102.4166,18.5007,300.81,68,100,1.34,LA,1619288489
201,Lata,-8.3327,40.1629,292.04,88,100,2.54,PT,1619288489
202,Camaná,-72.7111,-16.6228,294.83,71,86,4.38,PE,1619288490
203,Iralaya,-83.2333,15.0,304.15,70,40,4.12,HN,1619288491
204,Ponta Delgada,-25.6667,37.7333,288.15,88,40,4.63,PT,1619288525
205,Nantucket,-70.0995,41.2835,288.15,47,1,7.72,US,1619288491
206,Gualeguay,-59.3097,-33.1416,296.06,58,61,5.91,AR,1619288492
207,Araouane,-3.5265,18.9048,309.76,8,11,1.96,ML,1619288492
208,Langsa,97.9683,4.4683,296.63,95,100,0.57,ID,1619288493
209,Puerto Escondido,-97.0667,15.85,304.15,70,40,4.12,MX,1619288809
210,Narsaq,-46.05,60.9167,287.15,30,75,13.38,GL,1619288494
211,Kirakira,161.9205,-10.4544,299.16,82,99,0.75,SB,1619288220
212,Lüderitz,15.1594,-26.6481,289.82,87,1,2.43,NA,1619288230
213,Lagoa,-27.9833,39.05,288.1,82,60,12.42,PT,1619288495
214,Dzilam González,-88.9333,21.2833,307.47,36,100,4.45,MX,1619288811
215,Kumul,93.45,42.8,283.66,20,37,0.89,CN,1619288496
216,Kumsi,75.4,14.0667,297.77,75,46,1.94,IN,1619288496
217,Vao,167.4833,-22.6667,297.61,67,100,5.13,NC,1619288497
218,Mossamedes,12.1522,-15.1961,299.58,75,44,4.26,AO,1619288497
219,Ligayan,119.4706,4.6533,300.89,77,54,2.23,PH,1619288498
220,Tautira,-149.15,-17.7333,300.15,69,75,2.57,PF,1619288498
221,Måløy,5.1136,61.9353,278.15,52,73,6.17,NO,1619288499
222,Provideniya,-173.3,64.3833,274.17,86,89,0.48,RU,1619288500
223,Kununurra,128.7333,-15.7667,288.15,72,8,2.12,AU,1619288257
224,Departamento de Maldonado,-54.9167,-34.6667,293.15,88,90,7.2,UY,1619288501
225,Kaniama,24.1833,-7.5667,292.97,95,92,2.41,CD,1619288501
226,Tanete,119.7848,-3.9443,296.43,95,96,1.07,ID,1619288502
227,Oroville,-121.5564,39.5138,289.26,51,90,6.17,US,1619288259
228,Adzhamka,32.5354,48.5424,277.56,56,53,3.12,UA,1619288503
229,Bataiporã,-53.2711,-22.2953,306.19,22,76,0.9,BR,1619288503
230,Mitsamiouli,43.2844,-11.3847,300.08,78,89,4.81,KM,1619288504
231,São João da Barra,-41.0511,-21.6403,303.15,51,40,2.06,BR,1619288817
232,Yala,101.25,6.3333,297.48,90,100,1.41,TH,1619288505
233,Berlevåg,29.0864,70.8578,274.33,70,100,6.03,NO,1619288506
234,Sandwick,-1.25,60.0,280.15,76,87,3.6,GB,1619288506
235,Qaanaaq,-69.3632,77.484,271.02,66,99,3.26,GL,1619288507
236,Carlsbad,-117.3506,33.1581,291.48,67,90,3.09,US,1619288507
237,Makakilo City,-158.0858,21.3469,299.15,69,1,3.09,US,1619288819
238,Yulara,130.9889,-25.2406,285.15,58,62,3.09,AU,1619288508
239,Ugoofaaru,73.0,5.6667,301.93,72,20,2.61,MV,1619288509
240,Zeya,127.2667,53.75,270.48,64,1,1.9,RU,1619288509
241,Tuktoyaktuk,-133.0374,69.4541,268.15,80,40,3.09,CA,1619288510
242,Yining,114.5636,29.0361,289.15,95,100,1.95,CN,1619288510
243,Nikolskoye,30.7861,59.7035,278.71,65,20,2.0,RU,1619288489
244,Nelson Bay,152.15,-32.7167,284.82,100,0,3.6,AU,1619288822
245,Keti Bandar,67.4497,24.1447,301.35,70,0,4.83,PK,1619288823
246,Portland,-122.6762,45.5234,283.15,81,90,3.09,US,1619288212
247,San Cristobal,-72.225,7.7669,305.15,55,40,6.17,VE,1619288611
248,Hong Kong,114.1577,22.2855,298.15,87,45,3.67,HK,1619288277
249,Matamoros,-103.25,25.5333,301.15,5,20,2.54,MX,1619288513
250,Esmeraldas,-44.3139,-19.7625,302.15,34,0,4.12,BR,1619288513
251,Juneau,-134.4197,58.3019,283.15,43,20,3.09,US,1619288514
252,Yelizovo,158.3805,53.1873,274.15,100,90,3.0,RU,1619288514
253,Rapid Valley,-103.1463,44.0625,281.15,49,40,7.72,US,1619288825
254,Nedelino,25.0833,41.45,280.97,87,100,2.01,BG,1619288515
255,Asău,26.4,46.4333,280.93,45,75,1.03,RO,1619288516
256,Hamilton,-84.5333,39.1834,285.37,71,90,2.57,US,1619288348
257,Elizabeth City,-76.2511,36.2946,292.15,48,20,3.6,US,1619288827
258,Guerrero Negro,-114.0611,27.9769,292.26,58,26,6.44,MX,1619288828
259,Kutum,24.6667,14.2,302.62,13,61,5.19,SD,1619288517
260,Sakakah,40.2064,29.9697,303.15,10,0,4.63,SA,1619288518
